Suscriptores ganados;Tiempo de visualización (horas);Me gusta;Clics en teaser de tarjeta;Tarjetas mostradas;Clics en elementos de pantalla final;suscriptores;Densidad_Publicitaria;Porcentaje de clics de las impresiones (%);Duracion Minutos;Comentarios añadidos;Porcentaje medio visto (%);rating;dia_semana;consecutivo_tema;No me gusta;RPM (USD)
0;0.0015;0;0;0;0;1;0;0;7.533333333;0;1.31;4.901234568;3;14;0;0
0;0.3858;0;0;0;0;5;0.312;8.13;12.8;0;12.97;4.614457831;1;5;1;0.769
0;22895;1;0;0;1;35;0.228;3.14;35.06666667;0;23.07;4.80952381;1;4;0;3765
0;0.1308;0;0;0;0;15;0.234;1.45;12.83333333;0;21.96;4.873303167;1;16;0;0
0;0.109;0;0;0;0;2;0;2.33;6.633333333;0;28.11;4.777777778;3;14;0;2667
0;0.6843;1;0;0;0;1;0.168;2.81;17.83333333;0;21.43;5;1;2;0;0.091
0;0.0406;0;0;0;0;1;0;1.16;7.7;0;17.76;4.818181818;1;16;0;0
0;0.7076;2;0;0;0;8;0.309;2.76;19.43333333;0;37.8;4.948051948;1;7;0;0.8
1;0.4302;1;0;0;0;6;0.249;4.05;12.06666667;0;23.83;5;1;5;0;0.875
0;22635;0;0;0;0;3;0.194;4.07;20.63333333;0;29.8;4.93442623;1;10;0;0.9
0;0.0684;-1;0;0;0;6;0.212;2.88;23.53333333;0;4.51;4.940298507;1;4;0;0
1;0.9463;1;0;0;0;12;0.392;3.87;10.2;1;22.49;5;1;7;0;1
0;11096;1;0;0;0;12;0.157;2.65;19.13333333;0;71.71;5;1;4;0;6.8
0;38016;0;0;0;0;34;0.167;4.91;47.86666667;0;21.86;4.771428571;0;16;0;1.85
0;199551;2;0;0;0;120;0.252;5.83;23.8;0;20.47;4.897959184;0;16;0;1695
0;11249;1;0;0;0;5;0.19;2.78;21;0;20.09;5;0;7;0;3462
0;0.5591;0;0;0;0;19;0.218;5.93;9.166666667;0;26.38;4.935828877;2;16;0;2077
0;30183;0;0;0;0;6;0.228;3.7;17.56666667;0;31.75;5;1;4;0;0.867
0;15778;0;0;3;1;-2;0.168;3.17;17.9;0;33.91;5;1;10;0;0.75
0;0.3255;0;0;0;0;4;0.297;1.82;13.46666667;0;51.12;4.9375;3;4;0;0
0;124094;1;0;0;0;42;0.173;4.2;11.53333333;1;34.58;5;3;10;0;1843
0;0.7272;0;0;0;0;317;0.251;4.18;11.93333333;0;39.79;4.962441315;3;16;0;6
0;38706;3;0;0;0;180;0.221;3;31.66666667;0;35.29;4.9296875;3;16;0;6.5
0;0.8484;0;0;0;0;31;0.328;2.26;18.3;0;41.2;5;3;10;0;0.333
3;129044;3;0;0;2;2090;0.205;3.68;24.33333333;0;21.52;4.935002664;1;11;0;1378
1;24469;0;0;0;0;6;0.264;2.16;18.93333333;0;34.57;4.978378378;1;4;0;1.55
0;0.0395;0;0;0;0;20;0.227;1.1;17.63333333;0;7.05;4.911111111;3;10;0;1.5
0;0.0863;0;0;0;0;13;0.219;2.94;13.7;0;4.48;4.918367347;1;16;0;0.5
0;0.858;0;0;0;0;11;0.267;2.42;11.23333333;0;42.1;4.962616822;1;16;0;0.727
1;7687;2;0;0;0;23;0.21;3.88;38.03333333;0;17.56;4.918367347;1;16;0;1483
0;0.0091;0;0;0;0;27;0.157;0.56;25.43333333;0;2.2;4.918367347;3;16;0;0
0;0.3341;0;0;0;0;18;0.208;1.29;24;0;7.75;4.923809524;1;10;0;0.143
1;15747;1;0;0;0;13;0.175;4.91;17.16666667;0;56.97;5;3;4;0;1444
0;0.2173;0;0;0;0;4;0.239;1.53;20.9;0;21.78;5;2;4;0;0.333
0;26191;0;0;0;0;8;0.194;1.53;20.63333333;0;39.65;5;1;7;0;1889
0;0.6926;0;0;0;0;2;0.18;0;16.63333333;0;50.94;5;1;7;0;0
0;0.4415;0;0;0;0;13;0.178;3.23;16.86666667;0;17.91;5;1;16;0;0.167
0;22171;0;0;0;0;3;0.174;2.66;22.96666667;0;34.8;5;1;14;0;0.588
0;15081;1;0;0;0;15;0.149;2.13;20.16666667;0;21.45;5;1;4;0;0.75
0;0.2179;0;0;0;0;0;0;1.18;6.166666667;0;71.63;5;1;4;0;1
0;0.2633;1;0;0;0;1;0.172;1.3;17.46666667;0;10.49;5;1;7;0;2.25
0;0.608;0;0;0;0;14;0.304;2.65;13.16666667;0;72.48;4.948717949;3;14;0;1333
0;0.7311;0;0;0;0;9;0;2.99;4.766666667;0;31.27;4;1;7;0;1.63
0;20199;1;0;0;0;20;0.41;4.51;9.766666667;0;38.98;4.866666667;1;7;0;0.594
0;0.1832;0;0;0;0;-4;0;0.83;6.066666667;0;33.1;4.619047619;1;7;0;0.333
1;34241;1;0;0;1;17;0;5.7;5.933333333;0;50.79;4.682539683;3;7;0;1014
0;0.6371;1;0;0;0;5;0;2.09;4.866666667;0;61.59;4.836734694;3;7;0;5.25
0;0.4866;1;0;0;0;172;0.227;1.33;17.6;0;9.38;4.807228916;0;8;0;0.467
2;55652;2;0;0;0;26;0.194;3.64;20.56666667;0;39.25;5;1;15;0;0.703
0;0.5277;0;0;0;0;9;0.24;4.35;16.66666667;0;19.39;4.949367089;3;16;0;1429
0;0.1699;0;0;0;0;12;0.245;2.68;12.23333333;0;21.03;5;1;14;0;0.333
0;19305;1;0;0;0;20;0.314;6.23;12.73333333;0;39.04;4.91011236;1;7;0;1292
1;0.3427;0;0;0;0;0;0.22;4.88;13.66666667;0;32.04;4.90625;1;4;0;4.75
